"seller","name","washVolumeUSDC","totalSellerVolumeUSDC","authenticatedReferences","transactions","proofId","stageTransaction","finalizeTransaction"
"0x22564606c08E09beF5d8AdDEdefD4c2491A34ee9","Agent 51303","10.200000","10.200000","202","3","0x4b6824f7b6c504d8f26073093f55b78e6231fe49710b6460cf9eda4b7cd7a12b","0x7705fd8f9203a312622fdf2f5b1dc04cc2a58a3915e0bdde7a2f2b48541b3f0b","0x5dbe98da4ef9a5fa8699a27cd6d672a06aabae86cc6b4caf148223b042cdca29"
"0x22a856f3AA4080B0EAEEBFD7DCA97C93b1618E80","Agent 51196","10.200000","10.200000","202","3","0x016ba7e6a16a7e649b027cf74dc2d5479c445dabdb6dd9790be47276ac5a0db4","0x851f8e541fb352120154f64eb8da41cd7002eaae6e68835025b518af5b1afdbe","0x893f3c7423eb747e1f3d48e5100284318cd2931d8ca6e96c853bebfe1f3ecb6e"
"0x3639a405BD9A7F943B069E68E70DAd28A9583Bbc","Agent 53604","277.500000","277.500000","5872","10","0x5a0ae655b2f5ef0063b30cd5b0a57e2b44dfc1fb82b8bad4491466e40ded577e","0x7f18bf0368ecbaada50df8f94b2f65ae260582ccd9d4cbbdfb150bcec85630b2","0x96f37d01e4552e73a47da8af055ffff22a6ca2ec42f0fd49bcf9089ac3e8813e"
"0x3a59C0058d6f4D75887aADf6812855a75B9eF1fD","Prompt-Forge","11156.194466","11605.934345","10277","15","0x9fba2f3541284f4774ab9857ab05878cbe06562687c7fabaed5ff83bda52536c","0x8351315d85d986c7e99dfd2f0ba359a971f429357664530e856ae3318b326bc0","0x690d907cc3f17a110a41536848d1cb556e990aacab945950284068a64c9f4616"
"0x3AE220b8c315111111249A52296AEB1DD69F972d","Agent 53613","19.200000","19.200000","416","3","0xbd0668fa0bfd0f0ca24cc732c17f354c1f6c43e96ac9e22f06fdb929cd32a075","0x303e27b1812733c5ce1904b3f8ea5c2c9d5f1dbf136abf8a5ad0ed6380f4fdbd","0x80bde0f431bd4d7d5ce0f8fbcd57af0f14fd4bb1acd7f12d9f89938e37187ca0"
"0x3c5baBFB591d405625dffda1635Ea4F077d64838","Agent 53642","225.600000","225.600000","4795","8","0x2ac24e3370b60793195dcbd96f22e32ca3e2465c661987d927793542e03371f7","0x309c5fe670b49d65b9352ca2f8db2ab2c6af76cc757e4ccf5c5eaf490d8af078","0x4058ea1a37b4aca7911df82ec88f37ef1d01630b3e686886afc7280efdab8801"
"0x3FDB59A36204F0792D3D051ef4a26B7Bc5160ec7","Agent 53633","225.000000","225.000000","4754","8","0x116f85b359ac0b7e98a923cd72cd82a31361a66d391ed96c0fef6637990036ea","0x4b70728586d5fdd097332e3923c88e32baabe89ea31703a411b76de7e2313c00","0x4cc6a2b366e2f253151a329cd5b98dd9c83f059f1fd476dfcf11416ae64d2de4"
"0x40485259C7DD469f171d0789fB6597C07E32bE0E","Agent 53674","179.600000","179.600000","3770","7","0xfa04f8f74e2edfdb67b575c4bb53e7202d8c81e6e658fb117389413bf7d3fde6","0x19a7d27259e5217d7a0a91eae20a8313bf00b949f2a0250d05349b53d51c9861","0x70152352fff6094f1eadd5180be06ea748328af4f7f60dfea121d74bb94c6356"
"0x40f158cC85F06F272C704822E39943ef1dc168Ae","Agent 53619","340.200000","340.200000","7041","11","0x0fe36397b4f9980f5c8439569c3d8d3d92113dd2bc17578e78d208c2dc4e78fc","0x1d791e31efce791f3db8a63affe4e0afc22e377857c8027b4690071ce9ba299d","0xc81cbc9275ff53ce69a2a47808faffd5255b27a55c62130ddc4850de475e5672"
"0x41A609Faf354500F5e4af4501b05f045bf0de985","ClaudeNode","2469.402792","2489.462822","3488","7","0xe46fdb3b7014c0228f267c2692a9b2d552f8716dd090f2c8cb96659d074d8f82","0x5890e50486289a651967413f37fa29fdfbde33180aaf0b4d29f739a9947d70be","0x90c6d7111b7f4cba8dbfb08969104677fe025f1db0e8828cb4e6390866ca3712"
"0x422c3FAacDEDfd0DEA33705EA0000008F9A02e48","Agent 53611","20.500000","20.500000","416","3","0xd993013a7deb7ea90e91453395e293f7448fe4d8331d8879aefdb0492014270f","0x0f8471ed280bf40541651d5d3f9a2c48762f73b4079c4db26a7072c512d744c4","0x4791a4ba4ed6552e525ecacf613e0f4319de579243b9a67ab1ea3564bbadc564"
"0x4581213A7A271c2424427Fe4a991DD5Ed7f65492","Agent 53673","179.500000","179.500000","3770","7","0x8e0482f3f2421c143829908c536b4d63e5974319eb0c666e130251da38b96f61","0x1ddc7c39e3cf2e8822cbc06f842c663c673a0b18d8f888c8ca82133ff2adfb23","0x0f6bbff4a7f88af1914db6be4b0f6a4e2b2ada6b5ac38c93ddcdbf23fa2b2c6f"
"0x4Cf31b431F7559400DCd1269a787Dd55D291CA49","Agent 53612","37.500000","37.500000","790","3","0x4da6018aebfaca57536477163c71ba8cde7cb2c5746bde473e17cac6ba3abab6","0xc50ee25d427357063f604ec86e0154b2ebe3dc1078955ebfc71b828e4e5e7670","0x55f67212d7feca4f7c3724e081e496d37d396909b84e20fb50c7a2ea90d68c4e"
"0x5B281ff194F7Fd3F68e9379a7D433C752013024f","Agent 53643","224.300000","224.300000","4754","8","0x344c2ca818209e6b5c56a963fa96bbec60734f7b4d80ba43d236b4ba87a475dc","0xc9c1ab63385d97cd14e7f159d1b0d1d6c0a82e44f9c9d52e9ede14fd3d79f232","0x4882c2458cd4976dcd82bb2c09ae307db143d7ee4ca9c42905f6274a1156f4ec"
"0x69F915d18AB913F0C86913a94c353b46a5E7bAA4","Agent 53629","244.600000","244.600000","5122","9","0x4e45ddbaad17b67c78aa68bce1dc1434af80e1b4fba34b62d4c1dd0966c72e49","0x1f15a05e34d8ee9a2b8654f2221ea197c159786e1d6304cd1046049677b0f13f","0x00e47d581d43d21bb8c1c3be41700b6790377c53b254f37d06b080474b0111ab"
"0x6CeDCd162Ce26Ea07Df8562bE548FD0597526454","Agent 53646","101.900000","101.900000","2136","5","0x2ffd7dd32fab2b30994e9be622c8ebd523552ded8df101e2f6c7e40e62e94d2c","0x697a7618488d153e3be3b1e3dcde5d14f81cbb8ea443d14ce7321f58a30c6ddd","0xf9398c0bafb426d167ae42bfde97f8276550730ffb3cde88d7be71cc0ec01cd0"
"0x6F9B9E63D3F776D359eb2FB0a82D12EE496FbEFE","StrataCode","3921.597042","14512.873336","6198","10","0xe36534a69754ad3b610048afaa24ff9b443c505f6d9283f21211d50ac88f6eae","0xd64da1ccf8e4df6e41e478498e4303170b6cf5f0d083ede8ec9a40c18e90bc45","0x33c17047055373941311ae952d59a0525dbb900cb156ffe5cc7c51a2bf62d533"
"0x74d4Ca0dCB2D9140dA86Dbf7Bbe97eEf7d4f2F72","InferenceLab","4687.961620","12012.656168","7232","12","0xab4ff1e2d7839bd0924d811e7c45039c85cb547816f35c0f4f9e91308bec80db","0xbb61c315c6293ba8f1100ddbf67554737d5a952b995f08ae51c0877e9cecc4aa","0xa6fdc0c73cb95dc4e428e1564581d6c6e6d4019eb58df1d74360a6294155c071"
"0x7877Aa0C29f7c80A9a46BFD9c05dAc8126471FF2","antseed-violet-wren-1ff2","44.000000","46.795968","790","3","0x2ce1f1beb7e8f8d48b12b5fdfd84d3c9d2f8ca2c0ed95db38f1c0a5ef93c429d","0xf01f94609a162ddba661435bb5372475e7a59471739255bdb46814afa3806e06","0xd34bc1954cf3137495524bbb85efc4a0d9cfc6fbaad7cba142a447438e623fce"
"0x7aDBe9474e067376DA5Dea2F757Ea3eaA60DC915","Argus AI","7307.835420","11646.564164","7692","12","0x56198ec90249b7c125e4c64faced765749b00d5bc067be7b6552f68e92914b0e","0x0f024491059b7925cb5ba35534df3e0cc87267113c64c2b5def8ada4fa5a428c","0x271e369736d2eebf3a6969bab25e61b00c1b9cf373f02f74082251acd51a56c7"
"0x83e57cbffc0d789F57C6ae0B0326385ad715C00F","Agent 53640","222.600000","222.600000","4732","8","0x394aa0ab71f6f3b89e84ae941f818f44ebc7f0a615e3bd7b30af14a1a48e2716","0x7648f0d1f4b5e8af4a1203da2e2957eec21a45a7a3001bd054ba070ef2d3abec","0xeadca9fbfce16b85fd0358bb33d73a92a3a024dcc38f04ab52acdc81caa846db"
"0x85f64F9736AEB122E387779A80c5257Ad43Ba834","Agent 53620","340.300000","340.300000","7041","11","0x175786ad170131406f1b24a9f5bf43fc4237ec977e050574315e18e422bcafe2","0x7dc91dd146ab9c5fc0c14120d43bde85e4625e382d8ddd5aaf57da2a1d209208","0x68a4ee3c98f1d55e3838a38e98fadec81241dcd3445d8d3a78c1e69e1ed928c8"
"0x89118d485aAb2f427BF4d9A44b09275222b1e4b3","Agent 53662","211.500000","211.500000","4461","8","0x81d4f20a02c5118f34bb5dc4fbcd35d2cfe35e711fa8f4c3890247267f4f83c6","0xea547d0f1f4c30828754120f38c252978b4ca83387c347d17883ec558abe0174","0x78f6bf195ff89b8bf46fe44af3d527938fb6494aec1187bf50e87c5bf191560d"
"0x8923A4bE978521e078e72B92077d59FE2C4DeAc8","Agent 53603","283.100000","283.100000","5872","10","0xb4bd04e0eef67e6f8bbeffca6ba9d37aa45b32cb9e1ecddf87c674a400fd2e4d","0x3e552fc89fb004857a3faa4d893e158ad781a6666a87cafe691b4db6766335d8","0x1ec3d4ec7e9ffe2f7c104933ad8c1a6994f06d465206404a813caf20b5636ee8"
"0x8c0BE23fBf68D6C317ADDaFd59b1Dfb42ea6806b","Agent 53905","127.300000","127.300000","2663","6","0xbf59ec8a9e844bc818209ab281b43d94aa11ddbe8f8f0234d58bf8ad2e86525c","0xf9e096ab759b624c428b48a7a70a050f10dc3a4886292371f50ed0e9528a1f6c","0xede9069082a7343fb9ad584a9609fed7ea55df317b538c9c793729a089c1546d"
